TREEBANK	UPOS	UFEATS	LEMMAS	UAS	LAS	CLAS	MLAS	BLEX	SIZE
UD_Afrikaans-AfriBooms	98.25	97.66	97.46	89.38	86.58	81.44	77.66	77.82	1300
UD_Ancient_Greek-PROIEL	97.86	92.44	93.51	85.93	82.11	77.70	67.16	71.22	15000
UD_Ancient_Greek-Perseus	93.27	91.39	85.02	78.85	73.54	67.60	53.87	53.19	11500
UD_Arabic-PADT	96.83	94.11	95.28	87.54	82.94	79.77	73.92	75.87	6100
UD_Armenian-ArmTDP	93.49	82.85	92.86	78.62	71.27	65.77	48.11	60.11	561
UD_Basque-BDT	96.11	92.48	96.29	86.11	82.86	81.79	72.33	78.54	5400
UD_Belarusian-HSE	93.63	73.30	87.34	78.58	72.72	69.14	46.20	58.28	261
UD_Bulgarian-BTB	98.98	97.82	97.94	93.38	90.35	87.01	83.63	84.42	8900
UD_Buryat-BDT	40.34	32.40	58.17	32.60	18.83	12.36	1.26	6.49	20
UD_Catalan-AnCora	98.88	98.37	99.07	93.22	91.06	87.18	84.48	86.18	13100
UD_Chinese-GSD	94.88	99.22	99.99	84.64	80.50	76.79	71.04	76.78	4000
UD_Coptic-Scriptorium	94.70	96.35	95.49	85.58	80.97	72.24	64.45	68.48	371
UD_Croatian-SET	98.13	92.25	97.27	91.10	86.78	84.11	73.61	81.19	7000
UD_Czech-CAC	99.37	96.34	98.57	92.99	90.71	88.84	84.30	87.18	23500
UD_Czech-CLTT	98.88	91.59	98.25	86.90	84.03	80.55	71.63	79.20	861
UD_Czech-FicTree	98.55	95.87	98.63	92.91	89.75	86.97	81.04	85.49	10200
UD_Czech-PDT	99.18	97.23	99.02	93.33	91.31	89.64	86.15	88.60	68500
UD_Danish-DDT	97.78	97.33	97.52	86.88	84.31	81.20	76.29	78.51	4400
UD_Dutch-Alpino	96.83	96.33	97.09	91.37	88.38	83.51	77.28	79.82	12300
UD_Dutch-LassySmall	96.50	96.42	97.41	90.20	86.39	81.88	77.19	78.83	5800
UD_English-EWT	96.29	97.10	98.25	89.63	86.97	84.02	79.00	82.36	12500
UD_English-GUM	96.02	96.82	96.85	87.27	84.12	78.55	73.51	74.68	2900
UD_English-LinES	96.91	96.31	96.45	84.15	79.71	77.44	71.38	73.22	2700
UD_English-ParTUT	96.10	95.51	97.74	90.29	87.27	82.58	76.44	80.33	1800
UD_Estonian-EDT	97.64	96.23	95.30	88.00	85.18	83.62	78.72	78.51	24400
UD_Finnish-FTB	96.65	96.62	95.49	90.68	87.89	85.11	80.58	81.18	15000
UD_Finnish-TDT	97.45	95.43	91.45	89.88	87.46	85.87	80.43	76.64	12200
UD_French-GSD	97.63	97.13	98.35	90.65	88.06	84.35	79.76	82.39	14500
UD_French-ParTUT	96.93	94.43	95.70	92.17	89.63	84.62	75.22	78.07	804
