TREEBANK	UPOS	UFEATS	LEMMAS	UAS	LAS	CLAS	MLAS	BLEX	SIZE
UD_Afrikaans-AfriBooms	97.48	96.63	95.23	86.97	83.48	77.42	70.57	70.93	1300
UD_Akkadian-PISANDUB	19.92	99.51	2.32	27.65	4.54	3.27	1.04	0.30	0
UD_Amharic-ATT	15.25	43.95	58.04	17.38	3.49	4.88	0.23	2.53	0
UD_Ancient_Greek-PROIEL	91.20	82.29	76.16	78.91	72.66	66.07	50.79	47.27	15000
UD_Ancient_Greek-Perseus	85.67	81.67	70.51	70.51	62.64	55.60	39.15	35.05	11500
UD_Arabic-PADT	96.58	91.77	73.55	87.72	82.88	79.47	70.52	50.26	6100
UD_Arabic-PUD	79.98	40.32	0.00	76.17	67.07	65.10	10.67	0.00	0
UD_Armenian-ArmTDP	94.42	76.90	85.63	85.63	78.61	73.72	46.80	59.14	561
UD_Bambara-CRB	30.86	57.96	20.42	30.28	8.60	6.56	1.04	0.76	0
UD_Basque-BDT	95.45	86.80	90.53	84.94	80.97	79.52	63.60	71.56	5400
UD_Belarusian-HSE	97.54	89.36	85.46	91.82	87.19	85.05	71.54	68.66	261
UD_Breton-KEB	62.78	47.12	51.31	63.52	39.84	35.14	4.64	16.34	0
UD_Bulgarian-BTB	98.89	96.18	93.49	95.54	92.40	89.59	83.43	80.44	8900
UD_Buryat-BDT	61.73	47.45	61.03	48.43	26.28	20.61	5.51	11.68	20
UD_Cantonese-HK	67.11	91.01	96.01	46.82	32.01	33.35	14.29	31.26	0
UD_Catalan-AnCora	98.89	98.34	98.14	94.25	92.33	89.27	86.21	86.61	13100
UD_Chinese-CFL	83.75	82.72	98.75	62.46	42.48	43.46	21.07	42.22	0
UD_Chinese-GSD	95.35	99.35	99.97	87.93	83.75	80.33	74.36	80.28	4000
UD_Chinese-HK	82.86	86.47	100.00	65.53	49.32	47.84	22.85	47.84	0
UD_Chinese-PUD	92.68	98.40	100.00	79.08	56.51	55.22	40.92	55.22	0
UD_Coptic-Scriptorium	27.17	52.85	55.71	27.58	10.82	6.50	0.19	1.44	371
UD_Croatian-SET	98.02	89.67	95.34	94.08	89.79	87.70	72.72	82.00	7000
UD_Czech-CAC	99.14	95.42	98.32	94.33	92.41	91.03	84.68	89.21	23500
UD_Czech-CLTT	99.17	93.66	98.86	91.69	89.96	87.59	79.50	86.79	861
UD_Czech-FicTree	98.34	91.82	98.13	95.19	92.77	90.99	77.77	88.39	10200
UD_Czech-PDT	99.18	96.69	98.52	94.73	92.88	91.64	87.13	89.95	68500
UD_Czech-PUD	97.93	93.98	96.94	92.59	87.95	84.85	77.39	82.81	0
UD_Danish-DDT	97.50	95.41	94.60	87.76	84.50	81.60	73.76	75.15	4400
UD_Dutch-Alpino	97.67	97.66	95.44	94.23	91.21	87.32	82.81	80.76	12300
UD_Dutch-LassySmall	96.70	96.57	95.10	94.34	91.22	88.03	82.06	81.40	5800
UD_English-EWT	96.21	96.02	97.28	90.96	88.50	86.25	79.80	83.39	12500
